"NightIoT uBus Sensor BMP280 & MPU9250  Revised: Monday, April 05, 2021",,,,,
By Xiaohai Li (haixiaolee@gmail.com)          Revision: V100,,,,,
,,,,,
Item,Part,Description,PCB Footprint,Quantity,Reference
1,0.1uF,Capacitor 20% 0603 0.1uF,C0603,4,"C1,C2,C5,C6"
2,10nF,Capacitor 20% 0603 10nF,C0603,1,C3
3,10uF,Capacitor 20% 0805 10uF,C0805,1,C4
4,uBUS_CON_A,Header 2.54mm 8 Pin,SIP8,1,J1
5,uBUS_CON_B,Header 2.54mm 8 Pin,SIP8,1,J2
6,GRN,LED 0603 Green,LED0603,1,LD1
8,4.7K,Resistor 1% 0603 4.7Kohm,R0603,4,"R2,R4,R6,R8"
9,100K,Resistor 1% 0603 100Kohm,R0603,1,R5
11,560R,Resistor 1% 0603 560ohm,R0603,1,R9
12,BMP280,Sensor Barometer BMP280 LGA8,LGA8,1,U1
13,MPU9250,Sensor 9-Axial MPU9250 QFN24 3x3mm,QFN24_3X3,1,U2
,,,,,
Not Mounted Parts,,,,,
,,,,,
Item,Part,Description,PCB Footprint,Quantity,Reference
1,4.7K NC,Resistor 1% 0603 4.7Kohm,R0603,2,"R1,R3"
10,0R NC,Resistor 1% 0603 0ohm,R0603,1,R7
